###Beginning of the log file###
2022-06-29 20:53:14,266 Server started
2022-06-29 20:54:31,130 Server started
2022-06-29 20:55:01,407 Server started
2022-06-29 20:58:33,962 Server started
2022-06-29 21:13:14,781 Connected with ('127.0.0.1', 54172)
2022-06-29 21:13:14,781 Connected with ('127.0.0.1', 54173)
2022-06-29 21:13:14,781 Connected with ('127.0.0.1', 54174)
2022-06-29 21:13:14,795 Connected with ('127.0.0.1', 54175)
2022-06-29 21:13:14,827 Connected with ('127.0.0.1', 54176)
2022-06-29 21:13:14,828 Connected with ('127.0.0.1', 54177)
2022-06-29 21:13:14,828 Connected with ('127.0.0.1', 54178)
2022-06-29 21:13:14,829 Connected with ('127.0.0.1', 54179)
2022-06-29 21:13:14,842 Connected with ('127.0.0.1', 54180)
2022-06-29 21:13:14,861 Connected with ('127.0.0.1', 54181)
2022-06-29 21:13:14,874 Connected with ('127.0.0.1', 54182)
2022-06-29 21:13:14,876 Connected with ('127.0.0.1', 54183)
2022-06-29 21:13:14,877 Connected with ('127.0.0.1', 54184)
2022-06-29 21:13:14,890 Connected with ('127.0.0.1', 54185)
2022-06-29 21:13:14,906 Connected with ('127.0.0.1', 54186)
2022-06-29 21:13:14,907 Connected with ('127.0.0.1', 54187)
2022-06-29 21:13:14,907 Connected with ('127.0.0.1', 54188)
2022-06-29 21:13:14,907 Connected with ('127.0.0.1', 54189)
2022-06-29 21:13:14,922 Connected with ('127.0.0.1', 54190)
2022-06-29 21:13:14,939 Connected with ('127.0.0.1', 54191)
2022-06-29 21:13:14,953 Connected with ('127.0.0.1', 54192)
2022-06-29 21:13:14,953 Connected with ('127.0.0.1', 54193)
2022-06-29 21:13:14,953 Connected with ('127.0.0.1', 54194)
2022-06-29 21:13:14,955 Connected with ('127.0.0.1', 54195)
2022-06-29 21:13:14,956 Connected with ('127.0.0.1', 54196)
2022-06-29 21:13:14,984 Connected with ('127.0.0.1', 54197)
2022-06-29 21:13:15,000 Connected with ('127.0.0.1', 54198)
2022-06-29 21:13:15,001 Connected with ('127.0.0.1', 54199)
2022-06-29 21:13:15,001 Connected with ('127.0.0.1', 54200)
2022-06-29 21:13:15,001 Connected with ('127.0.0.1', 54201)
2022-06-29 21:13:15,015 Connected with ('127.0.0.1', 54202)
2022-06-29 21:13:15,031 Connected with ('127.0.0.1', 54203)
2022-06-29 21:13:15,046 Connected with ('127.0.0.1', 54204)
2022-06-29 21:13:15,048 Connected with ('127.0.0.1', 54205)
2022-06-29 21:13:15,049 Connected with ('127.0.0.1', 54206)
2022-06-29 21:13:15,051 Connected with ('127.0.0.1', 54207)
2022-06-29 21:13:15,062 Connected with ('127.0.0.1', 54208)
2022-06-29 21:13:15,079 Connected with ('127.0.0.1', 54209)
2022-06-29 21:13:15,094 Connected with ('127.0.0.1', 54210)
2022-06-29 21:13:15,095 Connected with ('127.0.0.1', 54211)
2022-06-29 21:13:15,095 Connected with ('127.0.0.1', 54212)
2022-06-29 21:13:15,096 Connected with ('127.0.0.1', 54213)
2022-06-29 21:13:15,110 Connected with ('127.0.0.1', 54214)
2022-06-29 21:13:15,128 Connected with ('127.0.0.1', 54215)
2022-06-29 21:13:15,142 Connected with ('127.0.0.1', 54216)
2022-06-29 21:13:15,143 Connected with ('127.0.0.1', 54217)
2022-06-29 21:13:15,144 Connected with ('127.0.0.1', 54218)
2022-06-29 21:13:15,144 Connected with ('127.0.0.1', 54219)
2022-06-29 21:13:15,159 Connected with ('127.0.0.1', 54220)
2022-06-29 21:13:15,175 Connected with ('127.0.0.1', 54221)
2022-06-29 21:13:15,190 Connected with ('127.0.0.1', 54222)
2022-06-29 21:13:15,191 Connected with ('127.0.0.1', 54223)
2022-06-29 21:13:15,192 Connected with ('127.0.0.1', 54224)
2022-06-29 21:13:15,192 Connected with ('127.0.0.1', 54225)
2022-06-29 21:13:15,206 Connected with ('127.0.0.1', 54226)
2022-06-29 21:13:15,221 Connected with ('127.0.0.1', 54227)
2022-06-29 21:13:15,236 Connected with ('127.0.0.1', 54228)
2022-06-29 21:13:15,237 Connected with ('127.0.0.1', 54229)
2022-06-29 21:13:15,238 Connected with ('127.0.0.1', 54230)
2022-06-29 21:13:15,239 Connected with ('127.0.0.1', 54231)
2022-06-29 21:13:15,252 Connected with ('127.0.0.1', 54232)
2022-06-29 21:13:15,270 Connected with ('127.0.0.1', 54233)
2022-06-29 21:13:15,283 Connected with ('127.0.0.1', 54234)
2022-06-29 21:13:15,284 Connected with ('127.0.0.1', 54235)
2022-06-29 21:13:15,284 Connected with ('127.0.0.1', 54236)
2022-06-29 21:13:15,285 Connected with ('127.0.0.1', 54237)
2022-06-29 21:13:15,298 Connected with ('127.0.0.1', 54238)
2022-06-29 21:13:15,315 Connected with ('127.0.0.1', 54239)
2022-06-29 21:13:15,329 Connected with ('127.0.0.1', 54240)
2022-06-29 21:13:15,330 Connected with ('127.0.0.1', 54241)
2022-06-29 21:13:15,331 Connected with ('127.0.0.1', 54242)
2022-06-29 21:13:15,332 Connected with ('127.0.0.1', 54243)
2022-06-29 21:13:15,345 Connected with ('127.0.0.1', 54244)
2022-06-29 21:13:15,361 Connected with ('127.0.0.1', 54245)
2022-06-29 21:13:15,376 Connected with ('127.0.0.1', 54246)
2022-06-29 21:13:15,377 Connected with ('127.0.0.1', 54247)
2022-06-29 21:13:15,377 Connected with ('127.0.0.1', 54248)
2022-06-29 21:13:15,378 Connected with ('127.0.0.1', 54250)
2022-06-29 21:13:15,392 Connected with ('127.0.0.1', 54251)
2022-06-29 21:13:15,409 Connected with ('127.0.0.1', 54252)
2022-06-29 21:13:15,423 Connected with ('127.0.0.1', 54253)
2022-06-29 21:13:15,424 Connected with ('127.0.0.1', 54254)
2022-06-29 21:13:15,424 Connected with ('127.0.0.1', 54255)
2022-06-29 21:13:15,438 Connected with ('127.0.0.1', 54256)
2022-06-29 21:13:15,455 Connected with ('127.0.0.1', 54257)
2022-06-29 21:13:15,457 Connected with ('127.0.0.1', 54258)
2022-06-29 21:13:15,458 Connected with ('127.0.0.1', 54259)
2022-06-29 21:13:15,459 Connected with ('127.0.0.1', 54260)
2022-06-29 21:13:15,470 Connected with ('127.0.0.1', 54261)
2022-06-29 21:13:15,487 Connected with ('127.0.0.1', 54262)
2022-06-29 21:13:15,503 Connected with ('127.0.0.1', 54263)
2022-06-29 21:13:15,503 Connected with ('127.0.0.1', 54264)
2022-06-29 21:13:15,504 Connected with ('127.0.0.1', 54265)
2022-06-29 21:13:15,504 Connected with ('127.0.0.1', 54266)
2022-06-29 21:13:15,518 Connected with ('127.0.0.1', 54267)
2022-06-29 21:13:15,536 Connected with ('127.0.0.1', 54268)
2022-06-29 21:13:15,550 Connected with ('127.0.0.1', 54269)
2022-06-29 21:13:15,551 Connected with ('127.0.0.1', 54270)
2022-06-29 21:13:15,551 Connected with ('127.0.0.1', 54271)
2022-06-29 21:13:15,552 Connected with ('127.0.0.1', 54272)
2022-06-29 21:13:15,567 Connected with ('127.0.0.1', 54273)
2022-06-29 21:13:15,583 Connected with ('127.0.0.1', 54274)
2022-06-29 21:13:15,599 Connected with ('127.0.0.1', 54275)
2022-06-29 21:13:15,600 Connected with ('127.0.0.1', 54276)
2022-06-29 21:13:15,600 Connected with ('127.0.0.1', 54277)
2022-06-29 21:13:15,601 Connected with ('127.0.0.1', 54278)
2022-06-29 21:13:15,614 Connected with ('127.0.0.1', 54279)
2022-06-29 21:13:15,632 Connected with ('127.0.0.1', 54280)
2022-06-29 21:13:15,646 Connected with ('127.0.0.1', 54281)
2022-06-29 21:13:15,649 Connected with ('127.0.0.1', 54282)
2022-06-29 21:13:15,661 Connected with ('127.0.0.1', 54283)
2022-06-29 21:13:15,662 Connected with ('127.0.0.1', 54284)
2022-06-29 21:13:15,663 Connected with ('127.0.0.1', 54285)
2022-06-29 21:13:15,677 Connected with ('127.0.0.1', 54286)
2022-06-29 21:13:15,692 Connected with ('127.0.0.1', 54287)
2022-06-29 21:13:15,694 Connected with ('127.0.0.1', 54289)
2022-06-29 21:13:15,695 Connected with ('127.0.0.1', 54290)
2022-06-29 21:13:15,708 Connected with ('127.0.0.1', 54291)
2022-06-29 21:13:15,724 Connected with ('127.0.0.1', 54292)
2022-06-29 21:13:15,726 Connected with ('127.0.0.1', 54293)
2022-06-29 21:13:15,726 Connected with ('127.0.0.1', 54294)
2022-06-29 21:13:15,727 Connected with ('127.0.0.1', 54295)
2022-06-29 21:13:15,740 Connected with ('127.0.0.1', 54296)
2022-06-29 21:13:15,757 Connected with ('127.0.0.1', 54297)
2022-06-29 21:13:15,772 Connected with ('127.0.0.1', 54298)
2022-06-29 21:13:15,773 Connected with ('127.0.0.1', 54299)
2022-06-29 21:13:15,775 Connected with ('127.0.0.1', 54300)
2022-06-29 21:13:15,787 Connected with ('127.0.0.1', 54301)
2022-06-29 21:13:15,802 Connected with ('127.0.0.1', 54302)
2022-06-29 21:13:15,803 Connected with ('127.0.0.1', 54303)
2022-06-29 21:13:15,803 Connected with ('127.0.0.1', 54304)
2022-06-29 21:13:15,804 Connected with ('127.0.0.1', 54305)
2022-06-29 21:13:15,818 Connected with ('127.0.0.1', 54306)
2022-06-29 21:13:15,835 Connected with ('127.0.0.1', 54307)
2022-06-29 21:13:15,850 Connected with ('127.0.0.1', 54308)
2022-06-29 21:13:15,851 Connected with ('127.0.0.1', 54309)
2022-06-29 21:13:15,851 Connected with ('127.0.0.1', 54310)
2022-06-29 21:13:15,852 Connected with ('127.0.0.1', 54311)
2022-06-29 21:13:15,866 Connected with ('127.0.0.1', 54312)
2022-06-29 21:13:15,883 Connected with ('127.0.0.1', 54313)
2022-06-29 21:13:15,898 Connected with ('127.0.0.1', 54314)
2022-06-29 21:13:15,900 Connected with ('127.0.0.1', 54315)
2022-06-29 21:13:15,901 Connected with ('127.0.0.1', 54317)
2022-06-29 21:13:15,913 Connected with ('127.0.0.1', 54318)
